Experiment ID,Phase,Ecosystem Model ID,Ecosystem Model,Model Description,MSRS Status,MSRS Policy ID,MSRS Policy,Scenario ID,Scenario Name,Scenario Type,Scenario Difficulty,Simulation Horizon,Time Step Resolution,Repetitions,Random Seed Set,Controlled Variables,Independent Variables,Dependent Metrics,Statistical Test,Comparison Reference,Expected Analysis Output,Paper Table / Figure Link,Result Placeholder
E077,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P05,Waste-First Policy,S05,Supply Chain Disruption,Supply shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E078,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P06,Affordability-First Policy,S05,Supply Chain Disruption,Supply shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E079,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P07,Fairness-First Policy,S05,Supply Chain Disruption,Supply shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E080,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P08,Resilience-First Policy,S05,Supply Chain Disruption,Supply shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E081,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P09,Sustainability-First Policy,S05,Supply Chain Disruption,Supply shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E082,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P10,Compliance-First Policy,S05,Supply Chain Disruption,Supply shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E083,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P11,Balanced EVI Policy,S05,Supply Chain Disruption,Supply shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E084,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P12,Adaptive Scenario-Aware Policy,S05,Supply Chain Disruption,Supply shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E085,Stress Test,M1,Baseline,Traditional decentralized ecosystem,No MSRS,P00,Not Applicable,S06,Vendor Failure,Capacity shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],Compare against Baseline and Online Platform under same scenario,"Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E086,Stress Test,M2,Online Platform,Digital transaction platform ecosystem,No MSRS,P00,Not Applicable,S06,Vendor Failure,Capacity shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],Compare against Baseline and Online Platform under same scenario,"Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E087,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P01,Cost-First Policy,S06,Vendor Failure,Capacity shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E088,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P02,Profit-First Policy,S06,Vendor Failure,Capacity shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E089,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P03,Student Satisfaction-First Policy,S06,Vendor Failure,Capacity shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E090,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P04,Nutrition-First Policy,S06,Vendor Failure,Capacity shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E091,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P05,Waste-First Policy,S06,Vendor Failure,Capacity shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E092,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P06,Affordability-First Policy,S06,Vendor Failure,Capacity shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E093,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P07,Fairness-First Policy,S06,Vendor Failure,Capacity shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E094,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P08,Resilience-First Policy,S06,Vendor Failure,Capacity shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E095,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P09,Sustainability-First Policy,S06,Vendor Failure,Capacity shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E096,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P10,Compliance-First Policy,S06,Vendor Failure,Capacity shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E097,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P11,Balanced EVI Policy,S06,Vendor Failure,Capacity shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E098,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P12,Adaptive Scenario-Aware Policy,S06,Vendor Failure,Capacity shock,High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E099,Stress Test,M1,Baseline,Traditional decentralized ecosystem,No MSRS,P00,Not Applicable,S07,Equipment Failure,Operational shock,Medium-High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],Compare against Baseline and Online Platform under same scenario,"Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E100,Stress Test,M2,Online Platform,Digital transaction platform ecosystem,No MSRS,P00,Not Applicable,S07,Equipment Failure,Operational shock,Medium-High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],Compare against Baseline and Online Platform under same scenario,"Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E101,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P01,Cost-First Policy,S07,Equipment Failure,Operational shock,Medium-High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E102,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P02,Profit-First Policy,S07,Equipment Failure,Operational shock,Medium-High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E103,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P03,Student Satisfaction-First Policy,S07,Equipment Failure,Operational shock,Medium-High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E104,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P04,Nutrition-First Policy,S07,Equipment Failure,Operational shock,Medium-High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E105,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P05,Waste-First Policy,S07,Equipment Failure,Operational shock,Medium-High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E106,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P06,Affordability-First Policy,S07,Equipment Failure,Operational shock,Medium-High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E107,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P07,Fairness-First Policy,S07,Equipment Failure,Operational shock,Medium-High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E108,Stress Test,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P08,Resilience-First Policy,S07,Equipment Failure,Operational shock,Medium-High,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
